config_dir,ee_cutoff,en_cutoff,een_cutoff,ee_order,en_order,een_order,species,CCSD(T)_energy_Ha,heat_energy_Ha,error_Ha,error_mHa
4.5_1_1_order_9_5_2,4.5,1.0,1.0,9,5,2,F2,-199.432230141868,-199.532431,0.10020085813201263,100.20085813201263
4.5_1_1_order_9_5_2,4.5,1.0,1.0,9,5,2,HF,-100.411905234872,-100.460908,0.04900276512800872,49.00276512800872
4.5_1_1_order_9_5_2,4.5,1.0,1.0,9,5,2,NH2,-55.847924231705,-55.880866,0.03294176829499662,32.94176829499662
4.5_1_1_order_9_5_2,4.5,1.0,1.0,9,5,2,NH3,-56.526876991968,-56.564955,0.038078008031995125,38.078008031995125
4.5_1_1_order_9_5_4,4.5,1.0,1.0,9,5,4,CH3,-39.817068121822,-39.836136,0.01906787817800648,19.06787817800648
4.5_1_1_order_9_5_4,4.5,1.0,1.0,9,5,4,F2,-199.462117616951,-199.532431,0.07031338304901169,70.31338304901169
4.5_1_1_order_9_5_4,4.5,1.0,1.0,9,5,4,HF,-100.433272889238,-100.460908,0.027635110762005866,27.635110762005866
4.5_1_1_order_9_5_4,4.5,1.0,1.0,9,5,4,NH2,-55.855449090819,-55.880866,0.025416909180997038,25.416909180997038
4.5_1_1_order_9_5_4,4.5,1.0,1.0,9,5,4,NH3,-56.535245429775,-56.564955,0.029709570224994764,29.709570224994764
4.5_1_1_order_9_7_2,4.5,1.0,1.0,9,7,2,CH3,-39.811742839847,-39.836136,0.024393160153003635,24.393160153003635
4.5_1_1_order_9_7_2,4.5,1.0,1.0,9,7,2,F2,-199.432254417593,-199.532431,0.10017658240701621,100.17658240701621
4.5_1_1_order_9_7_2,4.5,1.0,1.0,9,7,2,HF,-100.411937557316,-100.460908,0.048970442684009186,48.970442684009186
4.5_1_1_order_9_7_2,4.5,1.0,1.0,9,7,2,NH2,-55.847971134984,-55.880866,0.032894865015997254,32.894865015997254
4.5_1_1_order_9_7_2,4.5,1.0,1.0,9,7,2,NH3,-56.526974076525,-56.564955,0.03798092347499704,37.98092347499704
4.5_1_1_order_9_7_4,4.5,1.0,1.0,9,7,4,CH3,-39.817307634177,-39.836136,0.018828365823004845,18.828365823004845
4.5_1_1_order_9_7_4,4.5,1.0,1.0,9,7,4,F2,-199.462612673969,-199.532431,0.06981832603099747,69.81832603099747
