project,system,basis,00,02a,02b,03,03_no_fci,04
g2_dfunc_projection_5z,LiH,avtz,6,N/A,N/A,83,66.20,16.37
g2_dfunc_projection_5z,LiH,pvdz,13,N/A,N/A,34,33.97,12.48
g2_dfunc_projection_5z,LiH,pvqz,16,N/A,N/A,165,100.00,13.84
g2_dfunc_projection_5z,LiH,pvtz,8,N/A,N/A,89,76.20,13.28
g2_dfunc_projection_5z,N,avdz,3,N/A,N/A,20,19.55,22.94
g2_dfunc_projection_5z,N,avqz,5,N/A,N/A,172,83.00,29.60
g2_dfunc_projection_5z,N,avtz,2,N/A,N/A,42,33.14,41.86
g2_dfunc_projection_5z,N,pvdz,5,N/A,N/A,20,19.54,26.62
g2_dfunc_projection_5z,N,pvqz,6,N/A,N/A,97,61.10,26.52
g2_dfunc_projection_5z,N,pvtz,4,N/A,N/A,39,36.06,23.80
g2_dfunc_projection_5z,N2,avdz,10,N/A,N/A,87,84.43,14.38
g2_dfunc_projection_5z,N2,avqz,62,N/A,N/A,1000,556.00,70.33
g2_dfunc_projection_5z,N2,avtz,18,N/A,N/A,325,265.80,16.27
g2_dfunc_projection_5z,N2,pvdz,62,N/A,N/A,90,87.42,16.76
g2_dfunc_projection_5z,N2,pvqz,52,N/A,N/A,594,405.00,25.88
g2_dfunc_projection_5z,N2,pvtz,25,N/A,N/A,183,166.30,15.66
g2_dfunc_projection_5z,N2H4,avdz,158,N/A,N/A,402,373.80,26.97
g2_dfunc_projection_5z,N2H4,avqz,2517,N/A,N/A,22871,11651.00,909.93
g2_dfunc_projection_5z,N2H4,avtz,410,N/A,N/A,2195,1414.00,93.69
g2_dfunc_projection_5z,N2H4,pvdz,1095,N/A,N/A,432,419.50,16.59
g2_dfunc_projection_5z,N2H4,pvqz,1461,N/A,N/A,9223,4543.00,340.23
g2_dfunc_projection_5z,N2H4,pvtz,767,N/A,N/A,3452,2026.00,171.50
g2_dfunc_projection_5z,NH,avdz,7,N/A,N/A,45,42.08,24.28
g2_dfunc_projection_5z,NH,avqz,27,N/A,N/A,988,299.00,71.81
g2_dfunc_projection_5z,NH,avtz,7,N/A,N/A,118,58.00,28.04
g2_dfunc_projection_5z,NH,pvdz,21,N/A,N/A,34,32.50,27.28
g2_dfunc_projection_5z,NH,pvqz,23,N/A,N/A,621,196.00,37.43
g2_dfunc_projection_5z,NH,pvtz,12,N/A,N/A,151,84.00,27.67
g2_dfunc_projection_5z,NH2,avdz,11,N/A,N/A,70,62.96,25.48
g2_dfunc_projection_5z,NH2,avqz,95,N/A,N/A,3493,943.00,154.27
g2_dfunc_projection_5z,NH2,avtz,35,N/A,N/A,347,157.00,52.24
g2_dfunc_projection_5z,NH2,pvdz,65,N/A,N/A,66,62.69,28.41
g2_dfunc_projection_5z,NH2,pvqz,69,N/A,N/A,1584,425.00,75.63
g2_dfunc_projection_5z,NH2,pvtz,44,N/A,N/A,586,234.00,38.21
g2_dfunc_projection_5z,NH3,avdz,45,N/A,N/A,126,121.30,14.06
g2_dfunc_projection_5z,NH3,avqz,570,N/A,N/A,3724,1895.00,96.32
g2_dfunc_projection_5z,NH3,avtz,60,N/A,N/A,434,317.00,18.99
g2_dfunc_projection_5z,NH3,pvdz,117,N/A,N/A,81,79.70,16.51
g2_dfunc_projection_5z,NH3,pvqz,222,N/A,N/A,1607,837.00,49.45
g2_dfunc_projection_5z,NH3,pvtz,134,N/A,N/A,787,510.00,34.50
g2_dfunc_projection_5z,NO,avdz,10,N/A,N/A,94,83.60,29.13
g2_dfunc_projection_5z,NO,avqz,105,N/A,N/A,2634,836.00,276.82
g2_dfunc_projection_5z,NO,avtz,18,N/A,N/A,493,282.00,62.72
g2_dfunc_projection_5z,NO,pvdz,60,N/A,N/A,82,77.73,50.64
g2_dfunc_projection_5z,NO,pvqz,53,N/A,N/A,1187,414.00,109.13
g2_dfunc_projection_5z,NO,pvtz,26,N/A,N/A,239,176.00,37.71
g2_dfunc_projection_5z,Na,avdz,14,N/A,N/A,55,45.81,26.78
g2_dfunc_projection_5z,Na2,avdz,140,N/A,N/A,278,249.80,35.28
g2_dfunc_projection_5z,NaCl,avdz,73,N/A,N/A,231,203.40,21.73
g2_dfunc_projection_5z,O,avdz,3,N/A,N/A,19,18.39,23.64
g2_dfunc_projection_5z,O,avqz,4,N/A,N/A,162,51.00,34.56
g2_dfunc_projection_5z,O,avtz,2,N/A,N/A,47,34.60,26.25
g2_dfunc_projection_5z,O,pvdz,5,N/A,N/A,17,16.92,22.34
g2_dfunc_projection_5z,O,pvqz,6,N/A,N/A,99,52.20,27.25
g2_dfunc_projection_5z,O,pvtz,4,N/A,N/A,43,39.07,23.70
